model,phase,case,count,pct,mu_mean,sigma_mean,max_r_mean
AdaRePO v15.1,Epoch 1,A: Stable Good,793,26.406926406926406,0.7252401248053596,0.07531502368384678,0.8044228302341396
AdaRePO v15.1,Epoch 1,B: Stuck,899,29.93672993672994,0.346487163197051,0.056603832007164914,0.4132830633116872
AdaRePO v15.1,Epoch 1,C: Promising,906,30.16983016983017,0.6544666511094662,0.3708414287289764,1.0793223444530535
AdaRePO v15.1,Epoch 1,D: Noisy/Hard,405,13.486513486513488,0.11586501646608872,0.3295232677313742,0.47487306245218597
AdaRePO v15.1,Epoch 2,A: Stable Good,708,23.56857523302264,0.7557293880684992,0.06797698812309154,0.829426085770847
AdaRePO v15.1,Epoch 2,B: Stuck,731,24.33422103861518,0.2872883909273369,0.061885284824782325,0.364099195746006
AdaRePO v15.1,Epoch 2,C: Promising,1239,41.24500665778961,0.6301753754893189,0.43506758269874835,1.1713600786240397
AdaRePO v15.1,Epoch 2,D: Noisy/Hard,326,10.85219707057257,0.08023189068461724,0.3617808414143209,0.4556562768159349
AdaRePO v15.1,Epoch 3,A: Stable Good,753,25.074925074925076,0.7783212810071706,0.06515798830407786,0.8524423278569929
AdaRePO v15.1,Epoch 3,B: Stuck,681,22.677322677322678,0.2887037758251285,0.060537495477841666,0.365703255012247
AdaRePO v15.1,Epoch 3,C: Promising,1277,42.52414252414252,0.6104231982711219,0.43013223152905755,1.1296120206149696
AdaRePO v15.1,Epoch 3,D: Noisy/Hard,292,9.723609723609723,0.07597258103683478,0.33566982923692673,0.4576969286776237
AdaRePO v15.1,Epoch 4,A: Stable Good,785,26.131824234354195,0.7911921615275661,0.06271757960254835,0.8604016060586204
AdaRePO v15.1,Epoch 4,B: Stuck,658,21.904127829560586,0.2586406405044296,0.06277772078754959,0.33629403870571833
AdaRePO v15.1,Epoch 4,C: Promising,1295,43.10918774966711,0.6400008229038461,0.4311127070707059,1.1792464249009331
AdaRePO v15.1,Epoch 4,D: Noisy/Hard,266,8.85486018641811,0.04845846295932497,0.34126736749341396,0.427665087180014
RePO,Epoch 1,A: Stable Good,677,51.83767228177641,0.5309303840630942,0.04835803395040341,0.607682628752004
RePO,Epoch 1,B: Stuck,278,21.286370597243494,0.4143182711619203,0.12846930482102437,0.5144119846943142
RePO,Epoch 1,C: Promising,350,26.79938744257274,0.4303849253848158,0.438773573758591,0.9147664376600788
RePO,Epoch 1,D: Noisy/Hard,1,0.0765696784073507,-0.03916183964469391,0.3644961375719503,0.3638403225806456
RePO,Epoch 2,A: Stable Good,318,24.349157733537517,0.5958878408611415,0.12271365030965589,0.7737809218046405
RePO,Epoch 2,B: Stuck,297,22.741194486983154,0.3813034096686054,0.1390613764321074,0.523076341582276
RePO,Epoch 2,C: Promising,674,51.60796324655437,0.4347329206494252,0.4979404840164268,1.0375077742388608
RePO,Epoch 2,D: Noisy/Hard,17,1.3016845329249618,-0.2934127599533967,0.7196341715704645,0.31519162595028
RePO,Epoch 3,A: Stable Good,272,20.82695252679939,0.6302337377228575,0.13974051984566405,0.8185908948756976
RePO,Epoch 3,B: Stuck,244,18.68300153139357,0.33911589332077463,0.14824310225158946,0.5020733690848754
RePO,Epoch 3,C: Promising,767,58.72894333843798,0.4691138533276459,0.49880906198791813,1.0835399110584183
RePO,Epoch 3,D: Noisy/Hard,23,1.761102603369066,-0.1150859703904665,0.43724164291046796,0.3540619553828207
RePO,Epoch 4,A: Stable Good,293,22.417750573833207,0.7025551572827212,0.13761837071571606,0.8780683702894834
RePO,Epoch 4,B: Stuck,233,17.82708492731446,0.3157403834250858,0.14447828153190662,0.4896591946642147
RePO,Epoch 4,C: Promising,743,56.847742922723796,0.5488874226895121,0.5199319581854807,1.1950625207685484
RePO,Epoch 4,D: Noisy/Hard,38,2.9074215761285385,-0.1818308052912383,0.4488334610375718,0.23871237572853535
